# no software pipelining (num_stages = 1)

GPU 0: NVIDIA B200 (UUID: GPU-ee9bcf2c-f61b-7b23-cbd4-61a3ffbbd540)

Softmax test passed!
softmax-performance:
          N  Triton (GB/s)  Torch (GB/s)  Naive Softmax (GB/s)
25   3456.0    4088.970022   2126.840242            813.599899
26   3584.0    4161.956742   2198.817954            819.762811
27   3712.0    4119.171555   2229.056143            819.539137
28   3840.0    4175.851376   2293.573001            813.453069
29   3968.0    4270.262081   2340.148452            817.587741
30   4096.0    4285.492472   2384.976550            829.999487
31   4224.0    3656.268855   1532.649051            819.259919
32   4352.0    3756.595037   1567.054313            814.275109
33   4480.0    3837.984272   1611.394208            828.763597
34   4608.0    3925.821449   1647.224397            817.690064
35   4736.0    4013.584246   1671.330744            815.043889
36   4864.0    4093.534062   1707.048550            822.990083
37   4992.0    4177.379260   1736.012244            824.079419
38   5120.0    4241.533597   1761.155842            812.702615
39   5248.0    4308.978897   1683.392274            821.659512
40   5376.0    4400.498820   1719.111268            822.804428
41   5504.0    4499.335338   1758.025769            816.776586
42   5632.0    4576.598588   1788.432695            822.989987
43   5760.0    4673.096017   1823.862387            823.800877
44   5888.0    4694.839242   1858.620259            816.842826
45   6016.0    4738.468367   1871.656399            823.706598
46   6144.0    4841.966774   1901.309528            829.520285
47   6272.0    4901.388016   1855.119851            818.411861
48   6400.0    4962.901484   1888.101406            827.513239
49   6528.0    5057.056240   1903.524004            827.054180
50   6656.0    5097.086410   1927.061684            822.257167
51   6784.0    5125.753129   1972.715016            822.166787
52   6912.0    5201.372063   1963.417170            825.577624
53   7040.0    5064.733702   2001.294203            826.636940
54   7168.0    4991.739041   2036.275843            826.703472
55   7296.0    4931.891837   1942.205394            825.678142
56   7424.0    4821.392569   1968.191854            829.749527
57   7552.0    4859.697529   1973.380586            830.675934
58   7680.0    4800.772493   1997.361581            826.020553
59   7808.0    4773.154102   2009.241929            831.457565
60   7936.0    4882.706995   2025.681521            831.525220
61   8064.0    4869.384491   2054.905526            829.762586
62   8192.0    4939.939782   2070.652438            827.315749
63   8320.0    3099.332624   2058.583088            821.308014
64   8448.0    3140.644462   2097.805847            826.967875
65   8576.0    3172.067298   2138.807100            822.084893
66   8704.0    3214.804649   2141.280025            826.178911
67   8832.0    3243.543437   2176.938012            830.325148
68   8960.0    3276.487953   2194.571173            833.461051
69   9088.0    3345.722661   2200.023782            836.091103
70   9216.0    3384.590954   2226.707621            839.499273
71   9344.0    3396.117369   3318.106797            837.363704
72   9472.0    3442.515770   3334.531572            841.053618
73   9600.0    3470.188528   3371.742195            843.780824
74   9728.0    3495.982608   3410.100485            847.539424
75   9856.0    3518.941003   3402.879396            851.270123
76   9984.0    3552.614078   3435.117136            852.611524
77  10112.0    3612.899316   3449.531240            854.294404
78  10240.0    3631.103111   3458.550788            858.620941
79  10368.0    3660.438192   3483.095680            851.047713
80  10496.0    3695.155134   3482.021226            855.025726
81  10624.0    3749.799321   3511.174963            859.003882
82  10752.0    3779.109182   3546.571795            860.128988
83  10880.0    3820.056527   3572.888860            859.309777
84  11008.0    3839.166625   3575.854034            862.030028
85  11136.0    3882.497112   3608.570765            860.930073
86  11264.0    3904.309263   3609.932562            863.680920
87  11392.0    3934.903244   3633.715881            868.455903
88  11520.0    3967.046616   3657.942133            869.125706
89  11648.0    4007.092980   3680.667073            871.439808
90  11776.0    4039.466359   3719.153460            875.666317
91  11904.0    4074.299813   3721.718253            874.184509
92  12032.0    4104.796815   3741.003592            875.265263
93  12160.0    4148.837206   3768.014941            880.220523
94  12288.0    4163.884458   3542.459500            881.229119
95  12416.0    4198.261237   3392.561581            878.509059
96  12544.0    4235.102736   3377.158666            882.425778
97  12672.0    4249.765502   3355.190986            878.950664
